filename,variable_name,description
jackknife_finquiz.csv,participant_code,Unique participant code
jackknife_finquiz.csv,player.payoff_Q1," The sum of correct answers given by a participant across all quiz questions, excluding their response to this question"
jackknife_finquiz.csv,player.payoff_Q2," The sum of correct answers given by a participant across all quiz questions, excluding their response to this question"
jackknife_finquiz.csv,player.payoff_Q3," The sum of correct answers given by a participant across all quiz questions, excluding their response to this question"
jackknife_finquiz.csv,player.payoff_Q4," The sum of correct answers given by a participant across all quiz questions, excluding their response to this question"
jackknife_finquiz.csv,player.payoff_Q5," The sum of correct answers given by a participant across all quiz questions, excluding their response to this question"
jackknife_finquiz.csv,player.payoff_Q6," The sum of correct answers given by a participant across all quiz questions, excluding their response to this question"
jackknife_finquiz.csv,player.payoff_Q7," The sum of correct answers given by a participant across all quiz questions, excluding their response to this question"
jackknife_finquiz.csv,player.payoff_Q8," The sum of correct answers given by a participant across all quiz questions, excluding their response to this question"
jackknife_finquiz.csv,player.payoff_Q9," The sum of correct answers given by a participant across all quiz questions, excluding their response to this question"
jackknife_finquiz.csv,player.payoff_Q10," The sum of correct answers given by a participant across all quiz questions, excluding their response to this question"
jackknife_finquiz.csv,player.payoff_Q11," The sum of correct answers given by a participant across all quiz questions, excluding their response to this question"
jackknife_finquiz.csv,player.payoff_Q12," The sum of correct answers given by a participant across all quiz questions, excluding their response to this question"
self_reflection_uoft.csv,participant_code,Unique participant code
self_reflection_uoft.csv,player.inner_name,Internal (abbreviated) treatment name
self_reflection_uoft.csv,profit_nongamified,The average non-gamified payoff for each participant.
self_reflection_uoft.csv,profit_gamified, The average gamified payoff for each participant.
self_reflection_uoft.csv,accuracy_pred_zero_mean,Participant's average normalized accuracy of first-tick predictions.
self_reflection_uoft.csv,prediction_accuracy_mean,"The average of a participantÕs prediction accuracy scores, where each score is normalized between zero (not accurate) and one (perfectly accurate)."
self_reflection_uoft.csv,player.knowledge,Self-reported assessment of the player's knowledge in trading
self_reflection_uoft.csv,overconfidence,"the difference between a participant's self-rated knowledge and their actual payoff, both normalized to a scale from 0 to 1"
