variable_name,description
participant.id_in_session,Identifier for the participant within the session.
participant.code,Unique code for the participant in the study.
participant.label,label - used for storing and associating with prolific user id
participant._is_bot,Not used; internal otree
participant._index_in_pages,page index reached by a particiapnt
participant._max_page_index,Not used; internal otree;
participant._current_app_name,app reached by a participant
participant._current_page_name,page name reached by a particiapnt
participant.time_started,Timestamp when the participant started the session (internally measured by oTree)
participant.visited,Not used; internal otree
participant.mturk_worker_id,Not used; internal otree
participant.mturk_assignment_id,Not used; internal otree
participant.payoff,Total payoff for the participant in the study.
session.code,Unique code identifying the session.
session.label,Label  of the session.
session.mturk_HITId,Not used; internal otree;
session.mturk_HITGroupId,Not used; internal otree;
session.comment,Not used; internal otree;
session.is_demo,"Boolean: true if it is not a real session, but has been run for testing or demo purposes"
session.config.real_world_currency_per_point,The conversion rate from points earned in the session to real-world currency.
session.config.tick_frequency,The frequency at which updates or 'ticks' occur in a trading or experimental session.
session.config.trading_at,Configuration parameter indicating the time or conditions under which trading activities occur.
session.config.prediction_at,Configuration setting defining when predictions are made or required in the session.
session.config.for_prolific,A flag or setting indicating whether the session is designed for Prolific participants.
session.config.awards_at,Configuration details about when awards or rewards are given out in the session.
session.config.training_round_name,The name or identifier of the training round as configured in the session.
session.config.participation_fee,The fixed participation fee for the session
session.config.prolific_redirect_url,The URL to redirect participants to after completing the session
pretrade.1.player.id_in_group,app: pretrade; round number: 1. Identifier for the player within their group; Not used; internal otree;
pretrade.1.player.role,app: pretrade; round number: 1. Role assigned to the player in the study; Not used; internal otree
pretrade.1.player.payoff,app: pretrade; round number: 1. Payoff for the player in this round
pretrade.1.player.treatment,app: pretrade; round number: 1. The treatment  applied during the session/event.
pretrade.1.player.martingale,app: pretrade; round number: 1. Informs if the martingale pricing method was employed to generate the price
pretrade.1.player.consent,app: pretrade; round number: 1. Confirmation of the player's consent to participate in the study.
pretrade.1.player.knowledge,app: pretrade; round number: 1. Self-reported assessment of the player's knowledge in trading
pretrade.1.player.cq1,app: pretrade; round number: 1. Comprehension check: question 1
pretrade.1.player.cq2,app: pretrade; round number: 1. Comprehension check: question 2
pretrade.1.player.cq4,app: pretrade; round number: 1. Comprehension check: question 4
pretrade.1.player.cq5,app: pretrade; round number: 1. Comprehension check: question 5
pretrade.1.group.id_in_subsession,Not used; internal otree;
pretrade.1.subsession.round_number,app: pretrade; round number: 1. Indicates the round number of the experiment or activity the participant was engaged in at the time of the page visit.
trader_wrapper.1.player.id_in_group,app: trader_wrapper; round number: 1. Identifier for the player within their group; Not used; internal otree;
trader_wrapper.1.player.role,app: trader_wrapper; round number: 1. Role assigned to the player in the study; Not used; internal otree
trader_wrapper.1.player.payoff,app: trader_wrapper; round number: 1. Payoff for the player in this round
trader_wrapper.1.player.martingale,app: trader_wrapper; round number: 1. Informs if the martingale pricing method was employed to generate the price
trader_wrapper.1.player.stock_prices_A,app: trader_wrapper; round number: 1. List of prices a partiticant observes during the specific trading day (round)
trader_wrapper.1.player.intermediary_payoff,app: trader_wrapper; round number: 1. player's payoff in specific round (it becomes his/her actual payoff if this round is selected for payment)
trader_wrapper.1.player.gamified,app: trader_wrapper; round number: 1. Was the trading platform gamified in this round
