,participant_code,round_number,player.inner_name,n_transactions,optimal_trade_count,gamified,salient,player.intermediary_payoff,ingame_experience,accuracy_pred_zero,player.knowledge,overconfidence,PGR,PLR,PGR_alerts,PLR_alerts,excessive_trading,diff_PGR_PLR,diff_PGR_PLR_alerts,player.age,player.payoff,player.gender,player.course_financial,player.trading_experience,player.online_trading_experience,count_buy,count_sell,filtered_prob_buy,filtered_prob_sell,std_buy_prob,std_sell_prob,prediction,prediction_accuracy,prediction_confidence,player.sr_prefs,player.sr_better_decs,player.sr_better_have_option,player.sr_notifications,player.sr_badges,player.sr_confetti
0,00368em6,2,s3,8,16.0,1.0,0.0,155.0,0.0,1.0,3.0,-0.2833333333333334,0.1,0.10526315789473684,1.0,0.0,0.5,-0.005263157894736831,1.0,35.0,7.0,Male,0.0,0.0,0.0,4.0,4.0,0.4888252905668657,0.5078323103364868,0.06639509676589479,0.03683979065031538,5.0,0.75,1.0,Design 2,Design 2,"Have an option between Design #1 and Design #2,",5.0,3.0,3.0
1,00368em6,3,s3,12,19.0,1.0,1.0,280.0,0.0,0.5,3.0,-0.2833333333333334,0.24,0.0,0.6666666666666666,0.0,0.631578947368421,0.24,0.6666666666666666,35.0,7.0,Male,0.0,0.0,0.0,6.0,6.0,0.45666041494156767,0.5425881273064478,0.019920650625822087,0.022850787901498668,2.0,0.5,0.75,Design 2,Design 2,"Have an option between Design #1 and Design #2,",5.0,3.0,3.0
2,00368em6,4,s3,4,14.0,0.0,0.0,155.0,0.0,0.5,3.0,-0.2833333333333334,0.2,0.029411764705882353,1.0,0.0,0.2857142857142857,0.17058823529411765,1.0,35.0,7.0,Male,0.0,0.0,0.0,2.0,2.0,0.46327916989274887,0.5664992287192399,0.008784800764365948,0.006760160591579817,2.0,1.0,1.0,Design 2,Design 2,"Have an option between Design #1 and Design #2,",5.0,3.0,3.0
3,00368em6,5,s3,8,17.0,0.0,1.0,210.0,0.0,0.0,3.0,-0.2833333333333334,0.1875,0.0,1.0,0.0,0.47058823529411764,0.1875,1.0,35.0,7.0,Male,0.0,0.0,0.0,4.0,4.0,0.4526127448718432,0.5466069698922733,0.025777119614013105,0.008367571866205197,5.0,0.25,1.0,Design 2,Design 2,"Have an option between Design #1 and Design #2,",5.0,3.0,3.0
4,00f41hif,2,s2,10,16.0,1.0,1.0,225.0,0.0,0.5,2.0,-0.6333333333333333,0.14814814814814814,0.0,0.0,0.0,0.625,0.14814814814814814,0.0,34.0,10.0,Male,0.0,0.0,0.0,5.0,5.0,0.49693557470527017,0.4863771692035067,0.02924602623021231,0.023604789783960124,4.0,1.0,0.75,Design 2,Design 2,"Have an option between Design #1 and Design #2,",4.0,,
5,00f41hif,5,s2,6,17.0,0.0,0.0,185.0,0.0,0.0,2.0,-0.6333333333333333,0.16666666666666666,0.0,0.0,0.0,0.35294117647058826,0.16666666666666666,0.0,34.0,10.0,Male,0.0,0.0,0.0,4.0,3.0,0.44047590297194983,0.5174221538439417,0.010624135521286753,0.002011334459630013,4.0,0.5,0.5,Design 2,Design 2,"Have an option between Design #1 and Design #2,",4.0,,
6,00pdsni3,2,s2,8,16.0,0.0,0.0,215.0,1.0,0.5,1.0,-0.8166666666666667,0.25,0.0,0.3333333333333333,0.0,0.5,0.25,0.3333333333333333,68.0,11.0,Female,0.0,0.0,0.0,4.0,4.0,0.46445907433803985,0.5362383631716066,0.02435405923385283,0.01322739285424193,4.0,1.0,0.25,Design 1,Design 1,Only trade on Design #1,3.0,,
7,00x79kxm,2,s1,8,16.0,0.0,0.0,185.0,1.0,0.5,8.0,-0.11666666666666659,0.1875,0.0,0.0,0.0,0.5,0.1875,0.0,54.0,11.0,Female,0.0,1.0,0.0,4.0,4.0,0.4729584600814385,0.492509759613836,0.019936399402633483,0.022695258848132366,4.0,1.0,0.25,Design 1,Design 1,Only trade on Design #1,,3.0,3.0
8,00x79kxm,3,s1,12,19.0,0.0,1.0,165.0,1.0,0.5,8.0,-0.11666666666666659,0.3333333333333333,0.15384615384615385,0.0,0.0,0.631578947368421,0.17948717948717946,0.0,54.0,11.0,Female,0.0,1.0,0.0,7.0,7.0,0.4942686967950645,0.4981340235856067,0.026329218956409318,0.027676778276851798,4.0,1.0,0.5,Design 1,Design 1,Only trade on Design #1,,3.0,3.0
9,00x79kxm,4,s1,8,14.0,1.0,0.0,145.0,1.0,0.5,8.0,-0.11666666666666659,0.3333333333333333,0.03333333333333333,,0.0,0.5714285714285714,0.3,,54.0,11.0,Female,0.0,1.0,0.0,4.0,4.0,0.5006410970413027,0.5191107923672714,0.023163817533383264,0.0027734224375782633,2.0,1.0,0.25,Design 1,Design 1,Only trade on Design #1,,3.0,3.0
