,participant_code,player.inner_name,profit_nongamified,profit_gamified,accuracy_pred_zero_mean,prediction_accuracy_mean,player.knowledge,overconfidence,player.age,player.payoff,player.gender,player.course_financial,player.trading_experience,player.online_trading_experience,player.sr_prefs,player.sr_better_decs,player.sr_better_have_option,player.sr_notifications,player.sr_badges,player.sr_confetti
0,00368em6,s3,182.5,217.5,0.5,0.625,3.0,-0.2833333333333334,35.0,7.0,Male,0.0,0.0,0.0,Design 2,Design 2,"Have an option between Design #1 and Design #2,",5.0,3.0,3.0
4,00f41hif,s2,185.0,225.0,0.25,0.75,2.0,-0.6333333333333333,34.0,10.0,Male,0.0,0.0,0.0,Design 2,Design 2,"Have an option between Design #1 and Design #2,",4.0,,
6,00pdsni3,s2,215.0,,0.5,1.0,1.0,-0.8166666666666667,68.0,11.0,Female,0.0,0.0,0.0,Design 1,Design 1,Only trade on Design #1,3.0,,
7,00x79kxm,s1,175.0,162.5,0.5,1.0,8.0,-0.11666666666666659,54.0,11.0,Female,0.0,1.0,0.0,Design 1,Design 1,Only trade on Design #1,,3.0,3.0
11,025619n8,s4,197.5,195.0,0.25,0.8125,7.0,-0.30000000000000004,61.0,12.0,Female,0.0,1.0,0.0,Design 2,Design 2,"Have an option between Design #1 and Design #2,",4.0,,
15,02c5xzpq,s2,220.0,167.5,0.5,0.5625,5.0,-0.5,34.0,12.0,Male,0.0,1.0,1.0,Design 2,Design 2,"Have an option between Design #1 and Design #2,",4.0,,
19,03a0alqr,s2,100.0,160.0,0.75,0.75,3.0,0.04999999999999998,36.0,3.0,Female,0.0,0.0,0.0,Design 2,Design 2,"Have an option between Design #1 and Design #2,",3.0,,
21,048nxn54,s2,205.0,175.0,0.25,1.0,9.0,-0.016666666666666607,25.0,11.0,Male,0.0,1.0,1.0,Design 2,Design 2,"Have an option between Design #1 and Design #2,",4.0,,
23,05ql5twx,s3,180.0,192.5,0.5,0.6875,6.0,-0.15000000000000002,32.0,9.0,Male,1.0,1.0,1.0,Design 2,Design 2,"Have an option between Design #1 and Design #2,",5.0,4.0,4.0
27,05sh2kt3,s3,202.5,205.0,0.0,0.75,8.0,-0.19999999999999996,70.0,12.0,Male,0.0,1.0,1.0,Design 1,Design 1,"Have an option between Design #1 and Design #2,",4.0,2.0,3.0
31,082eh4as,s3,,135.0,0.5,0.5,5.0,-0.33333333333333337,42.0,10.0,Male,0.0,1.0,1.0,Design 1,Design 1,Only trade on Design #1,4.0,3.0,4.0
32,08x4d9yo,s1,160.0,205.0,0.5,0.75,4.0,-0.3499999999999999,25.0,9.0,Female,0.0,1.0,1.0,Design 2,Design 2,"Have an option between Design #1 and Design #2,",,3.0,2.0
35,0aqvrav8,s1,155.0,197.5,0.16666666666666666,0.6666666666666666,1.0,-0.7333333333333334,61.0,10.0,Male,0.0,0.0,0.0,Design 2,Design 2,"Have an option between Design #1 and Design #2,",,4.0,4.0
38,0b8crlqg,s3,160.0,220.0,0.5,0.8333333333333334,5.0,-0.33333333333333337,26.0,10.0,Male,0.0,0.0,0.0,Design 2,Design 2,"Have an option between Design #1 and Design #2,",5.0,3.0,4.0
41,0c4c5dnf,s1,202.5,175.0,0.0,0.75,2.0,-0.6333333333333333,24.0,10.0,Female,0.0,0.0,0.0,Design 1,Design 1,Only trade on Design #1,,1.0,1.0
45,0c50marp,s1,175.0,190.0,0.16666666666666666,0.8333333333333334,7.0,-0.21666666666666667,60.0,11.0,Female,0.0,0.0,0.0,Design 1,Design 1,"Have an option between Design #1 and Design #2,",,4.0,4.0
48,0d88h9ec,s2,90.0,155.0,0.6666666666666666,0.5833333333333334,5.0,-0.33333333333333337,33.0,10.0,Male,0.0,1.0,0.0,Design 1,Design 1,"Have an option between Design #1 and Design #2,",4.0,,
51,0ie8fi28,s2,235.0,162.5,0.16666666666666666,0.8333333333333334,4.0,-0.6,50.0,12.0,Male,0.0,0.0,0.0,Design 2,Design 2,"Have an option between Design #1 and Design #2,",4.0,,
54,0j2cnjuc,s1,167.5,187.5,0.25,0.5,7.0,-0.050000000000000044,33.0,9.0,Male,0.0,1.0,1.0,Design 2,Design 2,"Have an option between Design #1 and Design #2,",,5.0,4.0
58,0kpdug7u,s1,200.0,195.0,0.5,0.75,2.0,-0.4666666666666666,27.0,8.0,Male,0.0,0.0,1.0,Design 2,Design 1,"Have an option between Design #1 and Design #2,",,5.0,5.0
62,0mendpyl,s4,170.0,195.0,0.5,0.75,7.0,-0.13333333333333341,53.0,10.0,Female,0.0,1.0,0.0,Design 2,Design 2,"Have an option between Design #1 and Design #2,",4.0,,
65,0nts58x6,s4,180.0,215.0,0.375,0.75,8.0,-0.19999999999999996,19.0,12.0,Other,0.0,1.0,0.0,Design 2,Design 2,"Have an option between Design #1 and Design #2,",4.0,,
69,0pe8wve3,s2,205.0,,0.0,0.75,8.0,-0.19999999999999996,57.0,12.0,Male,0.0,1.0,1.0,Design 2,Design 2,"Have an option between Design #1 and Design #2,",3.0,,
71,0s89hgxq,s4,175.0,195.0,0.5,0.5,3.0,-0.45,28.0,9.0,Female,0.0,0.0,0.0,Design 2,Design 2,"Have an option between Design #1 and Design #2,",4.0,,
73,0vid4drt,s2,,155.0,0.5,0.5,6.0,-0.2333333333333334,42.0,10.0,Male,0.0,1.0,0.0,Design 2,Design 2,"Have an option between Design #1 and Design #2,",4.0,,
74,0vsn80li,s4,245.0,185.0,0.25,0.75,6.0,-0.2333333333333334,20.0,10.0,Male,0.0,1.0,0.0,Design 2,Design 2,"Have an option between Design #1 and Design #2,",4.0,,
76,0wj2uhxg,s4,167.5,202.5,0.25,0.75,6.0,0.43333333333333335,38.0,2.0,Male,0.0,0.0,0.0,Design 2,Design 2,"Have an option between Design #1 and Design #2,",4.0,,
80,0wvol8bq,s2,165.0,,1.0,0.75,7.0,-0.050000000000000044,76.0,9.0,Male,1.0,1.0,0.0,Design 1,Design 1,"Have an option between Design #1 and Design #2,",2.0,,
81,0z0q3uil,s1,165.0,105.0,0.5,0.75,4.0,-0.09999999999999998,39.0,6.0,Male,0.0,0.0,0.0,Design 2,Design 2,"Have an option between Design #1 and Design #2,",,2.0,3.0
84,10cfooir,s4,142.5,192.5,0.5,0.75,7.0,-0.13333333333333341,42.0,10.0,Male,0.0,1.0,0.0,Design 1,Design 1,"Have an option between Design #1 and Design #2,",1.0,,
88,10x5cynt,s1,,135.0,0.5,0.5,5.0,-0.41666666666666663,58.0,11.0,Female,0.0,1.0,1.0,Design 2,Design 2,"Have an option between Design #1 and Design #2,",,5.0,2.0
89,12b1bilr,s3,125.0,205.0,0.5,0.8333333333333334,7.0,0.033333333333333326,46.0,8.0,Female,0.0,0.0,0.0,Design 2,Design 2,"Have an option between Design #1 and Design #2,",3.0,4.0,5.0
92,13la8jfr,s1,102.5,197.5,0.625,0.4166666666666667,3.0,-0.1166666666666667,39.0,5.0,Male,0.0,0.0,0.0,Design 2,Design 2,"Have an option between Design #1 and Design #2,",,5.0,5.0
96,15kwfp4z,s2,210.0,177.5,0.5,0.8333333333333334,4.0,-0.43333333333333335,49.0,10.0,Female,0.0,0.0,0.0,Design 2,Design 1,"Have an option between Design #1 and Design #2,",3.0,,
