,round_number,tick_number,filtered_prob,trade_flag,optimal_trade_count,price
0,2,1,0.5,0,14,100
1,2,2,0.535,1,14,115
2,2,3,0.4894259818731118,1,14,105
3,2,4,0.5276566757493187,1,14,110
4,2,5,0.5540606454759774,0,14,125
5,2,6,0.5028735207100592,0,14,110
6,2,7,0.4669924949471701,1,14,100
7,2,8,0.4422758127435268,0,14,85
8,2,9,0.4254536939069079,0,14,70
9,2,10,0.4825575314143953,0,14,75
10,2,11,0.4529543903039196,0,14,65
11,2,12,0.502087716794639,1,14,80
12,2,13,0.5364461838942041,0,14,90
13,2,14,0.5600744319669811,0,14,105
14,2,15,0.5761373211134116,0,14,120
15,2,16,0.5185790363913291,0,14,105
16,2,17,0.5478276073026133,0,14,110
17,2,18,0.5678304910935957,0,14,125
18,2,19,0.5813773703663461,0,14,130
19,2,20,0.5223275507294591,0,14,125
20,2,21,0.5504042050217014,0,14,130
21,2,22,0.5695815034421478,0,14,140
22,2,23,0.5825581483921976,0,14,150
23,2,24,0.5912834651029929,0,14,160
24,2,25,0.5294358264188312,0,14,145
25,2,26,0.48551983134698484,1,14,140
26,2,27,0.4549942201992644,0,14,125
27,2,28,0.4340892272841542,0,14,120
28,2,29,0.41991811093665,0,14,115
29,2,30,0.4785999259850118,0,14,125
30,2,31,0.5201060021764525,1,14,130
31,2,32,0.5488776546772527,0,14,135
32,2,33,0.49920660239120807,1,14,130
33,2,34,0.4644502626891607,0,14,125
34,2,35,0.5101876173062244,1,14,140
35,2,36,0.542045663089369,0,14,150
36,2,37,0.49438474473636307,1,14,145
37,2,38,0.46111299340914347,0,14,140
38,2,39,0.43825927776092743,0,14,125
39,2,40,0.49167874234108944,0,14,140
40,2,41,0.4592429496222846,0,14,135
41,2,42,0.43698373614372044,0,14,130
42,2,43,0.4218732662739463,0,14,125
43,2,44,0.4799987600827208,0,14,130
44,2,45,0.5210834711709403,1,14,140
45,2,46,0.5495494947508355,0,14,155
46,2,47,0.4996814899229063,1,14,140
47,2,48,0.5347792584548927,1,14,155
48,2,49,0.5589355340840079,0,14,170
49,2,50,0.5063294801170398,0,14,155
50,2,51,0.46939188939643084,1,14,140
51,2,52,0.4439176376077041,0,14,125
52,2,53,0.4956940487416096,0,14,135
53,2,54,0.5320134037503595,1,14,145
54,2,55,0.48732824945194797,1,14,135
55,2,56,0.45624067606377783,0,14,125
56,2,57,0.43493788805119293,0,14,110
57,2,58,0.4893175166503174,0,14,115
58,2,59,0.527581188773189,1,14,120
59,2,60,0.5540089061739091,0,14,125
60,3,1,0.5,0,18,100
61,3,2,0.535,1,18,115
62,3,3,0.4894259818731118,1,18,100
63,3,4,0.45768766958094664,0,18,95
64,3,5,0.43592361295877213,0,18,85
65,3,6,0.4900186148515444,0,18,95
66,3,7,0.4580966810292103,0,18,90
67,3,8,0.5057155770500936,1,18,100
68,3,9,0.5389563723055646,0,18,110
69,3,10,0.4922087569005138,1,18,95
70,3,11,0.5295922419004607,1,18,110
71,3,12,0.5553867656170776,0,18,120
72,3,13,0.5729625045047859,0,18,130
73,3,14,0.5163117828594225,0,18,125
74,3,15,0.4763410641166328,1,18,110
75,3,16,0.44868157275759557,0,18,100
76,3,17,0.49906753035519225,0,18,105
77,3,18,0.5343536780010194,1,18,110
78,3,19,0.5586446427659006,0,18,120
79,3,20,0.5061230669509241,0,18,115
80,3,21,0.4692484881524699,1,18,100
81,3,22,0.443819468959905,0,18,85
82,3,23,0.4956244642879559,0,18,100
83,3,24,0.5319650978870379,1,18,115
84,3,25,0.48729434099415836,1,18,110
85,3,26,0.526172546586359,1,18,115
86,3,27,0.4832330156747784,1,18,105
87,3,28,0.5233413838959273,1,18,110
88,3,29,0.5511004178331719,0,18,115
89,3,30,0.570054331362491,0,18,120
90,3,31,0.5142375118280191,0,18,115
91,3,32,0.4748947710808772,1,18,110
92,3,33,0.4476889957041811,0,18,100
93,3,34,0.49836519331704376,0,18,110
94,3,35,0.463867449269012,0,18,105
95,3,36,0.440139794868048,0,18,100
96,3,37,0.42400764005854485,0,18,95
97,3,38,0.48152454942291456,0,18,100
98,3,39,0.5221490272476892,1,18,115
99,3,40,0.48041757273034824,1,18,100
100,3,41,0.45148231970039554,0,18,95
101,3,42,0.5010477910686952,1,18,105
