,participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.treatment,player.martingale,player.consent,player.knowledge,player.cq1,player.cq2,player.cq4,player.cq5,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
661,2,hs5epb6h,6286d3ac3a161dab706a695c,0,23,23,post_experimental,FinalForProlific,2023-04-11 17:11:44.540512+00:00,1,,,212.0,2,,0.0,s1,0.0,1.0,5.0,The stock price is likelier to go up again,"You can purchase it, but any negative cash balance is subtracted from your final earnings",Your payoff in a randomly selected round and your correct answers in the post-experimental quiz,If your position in the stock changes between two consecutive price updates,1,1,vvlpwazd,,,,,0
662,3,s31rghh0,63d1859a26b56696da9d4c44,0,23,23,post_experimental,FinalForProlific,2023-04-11 17:17:46.957645+00:00,1,,,181.0,3,,0.0,s2,0.0,1.0,5.0,The stock price is likelier to go up again,"You can purchase it, but any negative cash balance is subtracted from your final earnings",Your payoff in a randomly selected round and your correct answers in the post-experimental quiz,If your position in the stock changes between two consecutive price updates,1,1,vvlpwazd,,,,,0
663,4,wczbyrzl,6123edc799de1e1894257e4b,0,23,23,post_experimental,FinalForProlific,2023-04-11 17:18:42.242104+00:00,1,,,224.0,4,,0.0,s2,0.0,1.0,7.0,The stock price is likelier to go up again,"You can purchase it, but any negative cash balance is subtracted from your final earnings",Your payoff in a randomly selected round and your correct answers in the post-experimental quiz,If your position in the stock changes between two consecutive price updates,1,1,vvlpwazd,,,,,0
664,5,xbxuf7k6,5e8681d1fc96dd135df99ee6,0,23,23,post_experimental,FinalForProlific,2023-04-11 17:20:31.989289+00:00,1,,,265.0,5,,0.0,s3,0.0,1.0,0.0,The stock price is likelier to go up again,"You can purchase it, but any negative cash balance is subtracted from your final earnings",Your payoff in a randomly selected round and your correct answers in the post-experimental quiz,If your position in the stock changes between two consecutive price updates,1,1,vvlpwazd,,,,,0
665,6,r22o457f,63cf190cba4db74f72c8027e,0,23,23,post_experimental,FinalForProlific,2023-04-11 17:20:40.398898+00:00,1,,,203.0,6,,0.0,s4,1.0,1.0,7.0,The stock price is equally likely to go up or down,"You can purchase it, but any negative cash balance is subtracted from your final earnings",Your payoff in a randomly selected round and your correct answers in the post-experimental quiz,If your position in the stock changes between two consecutive price updates,1,1,vvlpwazd,,,,,0
666,7,1zxkvcbn,5e57fb0874c953000c2553be,0,23,23,post_experimental,FinalForProlific,2023-04-11 17:22:06.229155+00:00,1,,,194.0,7,,0.0,s1,0.0,1.0,5.0,The stock price is likelier to go up again,"You can purchase it, but any negative cash balance is subtracted from your final earnings",Your payoff in a randomly selected round and your correct answers in the post-experimental quiz,If your position in the stock changes between two consecutive price updates,1,1,vvlpwazd,,,,,0
667,8,t8mthsac,5dceebbcc12884034547ae4d,0,23,23,post_experimental,FinalForProlific,2023-04-11 17:24:30.310252+00:00,1,,,206.0,8,,0.0,s1,0.0,1.0,7.0,The stock price is likelier to go up again,"You can purchase it, but any negative cash balance is subtracted from your final earnings",Your payoff in a randomly selected round and your correct answers in the post-experimental quiz,If your position in the stock changes between two consecutive price updates,1,1,vvlpwazd,,,,,0
668,9,7669d94u,60fd455e6d2c6409878f752c,0,23,23,post_experimental,FinalForProlific,2023-04-11 17:31:11.169232+00:00,1,,,219.0,9,,0.0,s2,0.0,1.0,6.0,The stock price is likelier to go up again,"You can purchase it, but any negative cash balance is subtracted from your final earnings",Your payoff in a randomly selected round and your correct answers in the post-experimental quiz,If your position in the stock changes between two consecutive price updates,1,1,vvlpwazd,,,,,0
670,11,fd0pjpl6,6166208d9c58ef96862ffd1e,0,23,23,post_experimental,FinalForProlific,2023-04-11 17:31:38.470923+00:00,1,,,257.0,11,,0.0,s3,0.0,1.0,6.0,The stock price is likelier to go up again,"You can purchase it, but any negative cash balance is subtracted from your final earnings",Your payoff in a randomly selected round and your correct answers in the post-experimental quiz,If your position in the stock changes between two consecutive price updates,1,1,vvlpwazd,,,,,0
671,12,tcvz6e68,640bd3065c01641d9e4c7a72,0,23,23,post_experimental,FinalForProlific,2023-04-11 17:31:56.608402+00:00,1,,,157.0,12,,0.0,s4,1.0,1.0,7.0,The stock price is equally likely to go up or down,"You can purchase it, but any negative cash balance is subtracted from your final earnings",Your payoff in a randomly selected round and your correct answers in the post-experimental quiz,If your position in the stock changes between two consecutive price updates,1,1,vvlpwazd,,,,,0
672,13,urtfe0gt,62b2c25fa2e87e7ed2da2b87,0,23,23,post_experimental,FinalForProlific,2023-04-11 17:32:46.409693+00:00,1,,,182.0,13,,0.0,s1,0.0,1.0,3.0,The stock price is likelier to go up again,"You can purchase it, but any negative cash balance is subtracted from your final earnings",Your payoff in a randomly selected round and your correct answers in the post-experimental quiz,If your position in the stock changes between two consecutive price updates,1,1,vvlpwazd,,,,,0
673,14,g3n81br1,63d3fbf01bebc2f1463027d4,0,23,23,post_experimental,FinalForProlific,2023-04-11 17:33:04.096091+00:00,1,,,222.0,14,,0.0,s1,0.0,1.0,6.0,The stock price is likelier to go up again,"You can purchase it, but any negative cash balance is subtracted from your final earnings",Your payoff in a randomly selected round and your correct answers in the post-experimental quiz,If your position in the stock changes between two consecutive price updates,1,1,vvlpwazd,,,,,0
675,16,k30m7zzz,63d38071444084aef534a07e,0,23,23,post_experimental,FinalForProlific,2023-04-11 17:36:28.106555+00:00,1,,,158.0,16,,0.0,s2,0.0,1.0,4.0,The stock price is likelier to go up again,"You can purchase it, but any negative cash balance is subtracted from your final earnings",Your payoff in a randomly selected round and your correct answers in the post-experimental quiz,If your position in the stock changes between two consecutive price updates,1,1,vvlpwazd,,,,,0
676,17,p4944w8u,5f2016b023978b04f9679bec,0,23,23,post_experimental,FinalForProlific,2023-04-11 17:37:22.873347+00:00,1,,,247.0,17,,0.0,s3,0.0,1.0,4.0,The stock price is likelier to go up again,"You can purchase it, but any negative cash balance is subtracted from your final earnings",Your payoff in a randomly selected round and your correct answers in the post-experimental quiz,If your position in the stock changes between two consecutive price updates,1,1,vvlpwazd,,,,,0
677,18,knt6bs1o,61020458e6339c65bb7b7798,0,23,23,post_experimental,FinalForProlific,2023-04-11 17:37:41.049026+00:00,1,,,119.0,18,,0.0,s4,1.0,1.0,7.0,The stock price is equally likely to go up or down,"You can purchase it, but any negative cash balance is subtracted from your final earnings",Your payoff in a randomly selected round and your correct answers in the post-experimental quiz,If your position in the stock changes between two consecutive price updates,1,1,vvlpwazd,,,,,0
679,20,y42uim9y,6406695d0e9785189e01f99a,0,23,23,post_experimental,FinalForProlific,2023-04-11 17:40:26.421805+00:00,1,,,206.0,20,,0.0,s1,0.0,1.0,6.0,The stock price is likelier to go up again,"You can purchase it, but any negative cash balance is subtracted from your final earnings",Your payoff in a randomly selected round and your correct answers in the post-experimental quiz,If your position in the stock changes between two consecutive price updates,1,1,vvlpwazd,,,,,0
680,21,wubp5eoe,63edf51bc1e19e32b9c72dfa,0,23,23,post_experimental,FinalForProlific,2023-04-11 17:40:44.415335+00:00,1,,,230.0,21,,0.0,s2,0.0,1.0,6.0,The stock price is likelier to go up again,"You can purchase it, but any negative cash balance is subtracted from your final earnings",Your payoff in a randomly selected round and your correct answers in the post-experimental quiz,If your position in the stock changes between two consecutive price updates,1,1,vvlpwazd,,,,,0
681,22,hgmfbowp,6110b74b42270b61d9b11ea3,0,23,23,post_experimental,FinalForProlific,2023-04-11 17:41:09.740480+00:00,1,,,191.0,22,,0.0,s2,0.0,1.0,6.0,The stock price is likelier to go up again,"You can purchase it, but any negative cash balance is subtracted from your final earnings",Your payoff in a randomly selected round and your correct answers in the post-experimental quiz,If your position in the stock changes between two consecutive price updates,1,1,vvlpwazd,,,,,0
682,23,doztziad,6114ba31072fc0bcc226b89d,0,23,23,post_experimental,FinalForProlific,2023-04-11 17:41:39.531145+00:00,1,,,148.0,23,,0.0,s3,0.0,1.0,2.0,The stock price is likelier to go up again,"You can purchase it, but any negative cash balance is subtracted from your final earnings",Your payoff in a randomly selected round and your correct answers in the post-experimental quiz,If your position in the stock changes between two consecutive price updates,1,1,vvlpwazd,,,,,0
683,24,n5vjtqwg,63d3ea0b0f01a1c783c10f16,0,23,23,post_experimental,FinalForProlific,2023-04-11 17:42:44.967276+00:00,1,,,128.0,24,,0.0,s4,1.0,1.0,7.0,The stock price is equally likely to go up or down,"You can purchase it, but any negative cash balance is subtracted from your final earnings",Your payoff in a randomly selected round and your correct answers in the post-experimental quiz,If your position in the stock changes between two consecutive price updates,1,1,vvlpwazd,,,,,0
684,25,um877c6y,5c3fd0d4c2d0b700017d02cd,0,23,23,post_experimental,FinalForProlific,2023-04-11 17:47:56.215227+00:00,1,,,191.0,25,,0.0,s1,0.0,1.0,3.0,The stock price is likelier to go up again,"You can purchase it, but any negative cash balance is subtracted from your final earnings",Your payoff in a randomly selected round and your correct answers in the post-experimental quiz,If your position in the stock changes between two consecutive price updates,1,1,vvlpwazd,,,,,0
685,26,c82eufke,611291090e626fdfde536f38,0,23,23,post_experimental,FinalForProlific,2023-04-11 17:48:09.900824+00:00,1,,,180.0,26,,0.0,s1,0.0,1.0,4.0,The stock price is likelier to go up again,"You can purchase it, but any negative cash balance is subtracted from your final earnings",Your payoff in a randomly selected round and your correct answers in the post-experimental quiz,If your position in the stock changes between two consecutive price updates,1,1,vvlpwazd,,,,,0
