,participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.treatment,player.martingale,player.consent,player.knowledge,player.cq1,player.cq2,player.cq4,player.cq5,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
122,3,mi0088eg,,0,24,23,post_experimental,FinalForProlific,2023-02-22 21:46:15.910963+00:00,1,,,182.0,3,,0.0,s2,0.0,1.0,7.0,The stock price is likelier to go up again,"You can purchase it, but any negative cash balance is subtracted from your final earnings",Your payoff in a randomly selected round and your correct answers in the post-experimental quiz,If your position in the stock changes between two consecutive price updates,1,1,vmu7c279,,,,,0
129,10,7jonfg2l,,0,24,23,post_experimental,FinalForProlific,2023-02-25 00:02:23.314708+00:00,1,,,216.0,10,,0.0,s2,0.0,1.0,6.0,The stock price is likelier to go up again,"You can purchase it, but any negative cash balance is subtracted from your final earnings",Your payoff in a randomly selected round and your correct answers in the post-experimental quiz,If your position in the stock changes between two consecutive price updates,1,1,vmu7c279,,,,,0
130,11,5c7udvpd,,0,24,23,post_experimental,FinalForProlific,2023-02-25 02:15:44.446805+00:00,1,,,220.0,11,,0.0,s3,0.0,1.0,5.0,The stock price is likelier to go up again,"You can purchase it, but any negative cash balance is subtracted from your final earnings",Your payoff in a randomly selected round and your correct answers in the post-experimental quiz,If your position in the stock changes between two consecutive price updates,1,1,vmu7c279,,,,,0
133,14,nlp1gb1k,,0,24,23,post_experimental,FinalForProlific,2023-02-25 23:29:34.117537+00:00,1,,,167.0,14,,0.0,s1,0.0,1.0,7.0,The stock price is likelier to go up again,"You can purchase it, but any negative cash balance is subtracted from your final earnings",Your payoff in a randomly selected round and your correct answers in the post-experimental quiz,If your position in the stock changes between two consecutive price updates,1,1,vmu7c279,,,,,0
134,15,gcs54w3b,,0,24,23,post_experimental,FinalForProlific,2023-02-26 19:07:57.281915+00:00,1,,,237.0,15,,0.0,s2,0.0,1.0,5.0,The stock price is likelier to go up again,"You can purchase it, but any negative cash balance is subtracted from your final earnings",Your payoff in a randomly selected round and your correct answers in the post-experimental quiz,If your position in the stock changes between two consecutive price updates,1,1,vmu7c279,,,,,0
139,20,hre8fq8i,,0,24,23,post_experimental,FinalForProlific,2023-03-01 22:54:31.871982+00:00,1,,,202.0,20,,0.0,s1,0.0,1.0,6.0,The stock price is likelier to go up again,"You can purchase it, but any negative cash balance is subtracted from your final earnings",Your payoff in a randomly selected round and your correct answers in the post-experimental quiz,If your position in the stock changes between two consecutive price updates,1,1,vmu7c279,,,,,0
140,21,pb727kvg,,0,24,23,post_experimental,FinalForProlific,2023-03-03 23:00:43.145273+00:00,1,,,231.0,21,,0.0,s2,0.0,1.0,2.0,The stock price is likelier to go up again,"You can purchase it, but any negative cash balance is subtracted from your final earnings",Your payoff in a randomly selected round and your correct answers in the post-experimental quiz,If your position in the stock changes between two consecutive price updates,1,1,vmu7c279,,,,,0
142,23,pgdv91vz,,0,24,23,post_experimental,FinalForProlific,2023-03-04 17:19:43.172888+00:00,1,,,196.0,23,,0.0,s3,0.0,1.0,4.0,The stock price is likelier to go up again,"You can purchase it, but any negative cash balance is subtracted from your final earnings",Your payoff in a randomly selected round and your correct answers in the post-experimental quiz,If your position in the stock changes between two consecutive price updates,1,1,vmu7c279,,,,,0
146,27,3cbm3sys,,0,24,23,post_experimental,FinalForProlific,2023-03-04 19:37:05.620386+00:00,1,,,266.0,27,,0.0,s2,0.0,1.0,7.0,The stock price is likelier to go up again,"You can purchase it, but any negative cash balance is subtracted from your final earnings",Your payoff in a randomly selected round and your correct answers in the post-experimental quiz,If your position in the stock changes between two consecutive price updates,1,1,vmu7c279,,,,,0
147,28,galec1ga,,0,24,23,post_experimental,FinalForProlific,2023-03-04 19:42:34.568323+00:00,1,,,291.0,28,,0.0,s2,0.0,1.0,6.0,The stock price is likelier to go up again,"You can purchase it, but any negative cash balance is subtracted from your final earnings",Your payoff in a randomly selected round and your correct answers in the post-experimental quiz,If your position in the stock changes between two consecutive price updates,1,1,vmu7c279,,,,,0
