,participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.block_name,player.treatment_name,player.inner_name,player.notifications,player.hedonic,player.sr_prefs,player.sr_better_decs,player.sr_better_have_option,player.sr_notifications,player.sr_badges,player.sr_confetti,player.gender,player.age,player.nationality,player.education,player.study_major,player.course_financial,player.experiment_before,player.trading_experience,player.online_trading_experience,player.trading_frequency,player.portfolio_frequency,player.asset_class,player.use_leverage,player.purpose,player.difficulty,player.vars_dump,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,cad_payoff
0,2,hs5epb6h,6286d3ac3a161dab706a695c,0,23,23,post_experimental,FinalForProlific,2023-04-11 17:11:44.540512+00:00,1,,,212.0,2,,12.0,block 1 (G first),"Session I - Hedonic, no price",s1,0,1,Design 1,Design 1,"Have an option between Design #1 and Design #2,",,1.0,1.0,Female,29.0,US,undergraduate: 2nd year,Other,0.0,1.0,1.0,1.0,Monthly,Daily,Stocks,No,Trading psychology,no,"{""treatments"": [true, false], ""payable_round"": 3, ""treatment"": ""s1"", ""martingale"": false, ""trading_payoff"": 200}",1,1,vvlpwazd,,,,,0,13.0
1,3,s31rghh0,63d1859a26b56696da9d4c44,0,23,23,post_experimental,FinalForProlific,2023-04-11 17:17:46.957645+00:00,1,,,181.0,3,,11.0,block 1 (G first),"Session II - non-hedonic, price",s2,1,0,Design 1,Design 1,"Have an option between Design #1 and Design #2,",3.0,,,Other,29.0,IL,undergraduate: 1st year,Other,1.0,0.0,1.0,1.0,Less than once a month,Weekly,Stocks,No,how people trade in response to price changes,No,"{""treatments"": [false, true], ""payable_round"": 4, ""treatment"": ""s2"", ""martingale"": false, ""trading_payoff"": 170}",1,1,vvlpwazd,,,,,0,11.25
2,4,wczbyrzl,6123edc799de1e1894257e4b,0,23,23,post_experimental,FinalForProlific,2023-04-11 17:18:42.242104+00:00,1,,,224.0,4,,9.0,block 1 (G first),"Session II - non-hedonic, price",s2,1,0,Design 1,Design 1,"Have an option between Design #1 and Design #2,",2.0,,,Male,23.0,US,high-school graduate,Other,0.0,1.0,1.0,1.0,Less than once a month,Less than once a month,Stocks,Yes,To note the different strategies one who is more experienced in trading may use compared to one who is not as experienced.,Everything worked perfectly for me.,"{""treatments"": [true, false], ""payable_round"": 2, ""treatment"": ""s2"", ""martingale"": false, ""trading_payoff"": 215}",1,1,vvlpwazd,,,,,0,13.0
3,5,xbxuf7k6,5e8681d1fc96dd135df99ee6,0,23,23,post_experimental,FinalForProlific,2023-04-11 17:20:31.989289+00:00,1,,,265.0,5,,0.0,block 1 (G first),Session III - full gamification,s3,1,1,Design 1,Design 1,Only trade on Design #1,3.0,1.0,2.0,Female,34.0,US,undergraduate: 2nd year,Other,0.0,0.0,0.0,0.0,Less than once a month,Less than once a month,Stocks,Do not know,not sure,no,"{""treatments"": [false, true], ""payable_round"": 5, ""treatment"": ""s3"", ""martingale"": false, ""trading_payoff"": 265}",1,1,vvlpwazd,,,,,0,13.25
4,6,r22o457f,63cf190cba4db74f72c8027e,0,23,23,post_experimental,FinalForProlific,2023-04-11 17:20:40.398898+00:00,1,,,203.0,6,,3.0,block 1 (G first),Session IV - price only+martingale,s4,1,0,Design 2,Design 2,"Have an option between Design #1 and Design #2,",5.0,,,Female,26.0,US,master,Finance,1.0,0.0,1.0,0.0,Less than once a month,Less than once a month,Stocks,No,to find out on the marketing expertise of the participants,none,"{""treatments"": [true, false], ""payable_round"": 5, ""treatment"": ""s4"", ""martingale"": true, ""trading_payoff"": 200}",1,1,vvlpwazd,,,,,0,10.75
5,7,1zxkvcbn,5e57fb0874c953000c2553be,0,23,23,post_experimental,FinalForProlific,2023-04-11 17:22:06.229155+00:00,1,,,194.0,7,,9.0,block 2 (G first),"Session I - Hedonic, no price",s1,0,1,Design 1,Design 1,"Have an option between Design #1 and Design #2,",,1.0,1.0,Male,28.0,TR,master,Other,1.0,1.0,0.0,0.0,Less than once a month,Less than once a month,Cryptocurrencies,Do not know,Not exactly sure,It took a bit while to get used to the UI to understand if I am holding anything or not.,"{""treatments"": [false, true], ""payable_round"": 5, ""treatment"": ""s1"", ""martingale"": false, ""trading_payoff"": 185}",1,1,vvlpwazd,,,,,0,11.5
6,8,t8mthsac,5dceebbcc12884034547ae4d,0,23,23,post_experimental,FinalForProlific,2023-04-11 17:24:30.310252+00:00,1,,,206.0,8,,11.0,block 2 (G first),"Session I - Hedonic, no price",s1,0,1,Design 1,Design 1,"Have an option between Design #1 and Design #2,",,2.0,2.0,Female,48.0,US,undergraduate: 4th year,Other,0.0,0.0,1.0,1.0,Weekly,Weekly,Stocks,Yes,To see trading errors.,No,"{""treatments"": [true, false], ""payable_round"": 5, ""treatment"": ""s1"", ""martingale"": false, ""trading_payoff"": 195}",1,1,vvlpwazd,,,,,0,12.5
7,9,7669d94u,60fd455e6d2c6409878f752c,0,23,23,post_experimental,FinalForProlific,2023-04-11 17:31:11.169232+00:00,1,,,219.0,9,,9.0,block 2 (G first),"Session II - non-hedonic, price",s2,1,0,Design 2,Design 2,"Have an option between Design #1 and Design #2,",5.0,,,Female,28.0,US,master,Other,0.0,1.0,1.0,1.0,Less than once a month,Less than once a month,Stocks,No,How the design of a platform affects a person's buying and selling choices,No,"{""treatments"": [false, true], ""payable_round"": 5, ""treatment"": ""s2"", ""martingale"": false, ""trading_payoff"": 210}",1,1,vvlpwazd,,,,,0,12.75
8,11,fd0pjpl6,6166208d9c58ef96862ffd1e,0,23,23,post_experimental,FinalForProlific,2023-04-11 17:31:38.470923+00:00,1,,,257.0,11,,7.0,block 2 (G first),Session III - full gamification,s3,1,1,Design 2,Design 1,"Have an option between Design #1 and Design #2,",5.0,4.0,5.0,Female,27.0,NP,MBA,Other Management,1.0,0.0,0.0,1.0,Less than once a month,Less than once a month,Stocks,No,To analyze people financial knowledge in relation to stock trading,NO,"{""treatments"": [false, true], ""payable_round"": 5, ""treatment"": ""s3"", ""martingale"": false, ""trading_payoff"": 250}",1,1,vvlpwazd,,,,,0,14.25
9,12,tcvz6e68,640bd3065c01641d9e4c7a72,0,23,23,post_experimental,FinalForProlific,2023-04-11 17:31:56.608402+00:00,1,,,157.0,12,,2.0,block 2 (G first),Session IV - price only+martingale,s4,1,0,Design 2,Design 2,"Have an option between Design #1 and Design #2,",4.0,,,Male,66.0,NG,master,Finance,1.0,0.0,0.0,0.0,Monthly,Less than once a month,Stocks,No,The purpose of the study  is base on trading decisions.,no,"{""treatments"": [true, false], ""payable_round"": 2, ""treatment"": ""s4"", ""martingale"": true, ""trading_payoff"": 155}",1,1,vvlpwazd,,,,,0,8.25
10,13,urtfe0gt,62b2c25fa2e87e7ed2da2b87,0,23,23,post_experimental,FinalForProlific,2023-04-11 17:32:46.409693+00:00,1,,,182.0,13,,7.0,block 3 (G second),"Session I - Hedonic, no price",s1,0,1,Design 1,Design 1,"Have an option between Design #1 and Design #2,",,2.0,1.0,Male,30.0,US,undergraduate: 4th year,Other,0.0,1.0,1.0,0.0,Less than once a month,Less than once a month,Cryptocurrencies,Do not know,To test two different graphical interfaces for a trading website/app.,No,"{""treatments"": [false, true], ""payable_round"": 2, ""treatment"": ""s1"", ""martingale"": false, ""trading_payoff"": 175}",1,1,vvlpwazd,,,,,0,10.5
11,14,g3n81br1,63d3fbf01bebc2f1463027d4,0,23,23,post_experimental,FinalForProlific,2023-04-11 17:33:04.096091+00:00,1,,,222.0,14,,12.0,block 3 (G second),"Session I - Hedonic, no price",s1,0,1,Design 1,Design 1,Only trade on Design #1,,4.0,3.0,Male,23.0,US,master,Other,1.0,1.0,1.0,1.0,Weekly,Daily,Stocks,No,Test whether users were more likely to make trades when the icons were involved.,no,"{""treatments"": [true, false], ""payable_round"": 4, ""treatment"": ""s1"", ""martingale"": false, ""trading_payoff"": 210}",1,1,vvlpwazd,,,,,0,13.5
12,16,k30m7zzz,63d38071444084aef534a07e,0,23,23,post_experimental,FinalForProlific,2023-04-11 17:36:28.106555+00:00,1,,,158.0,16,,3.0,block 3 (G second),"Session II - non-hedonic, price",s2,1,0,Design 2,Design 2,"Have an option between Design #1 and Design #2,",3.0,,,Male,44.0,US,undergraduate: 3d year,Other,1.0,0.0,1.0,0.0,Less than once a month,Weekly,Stocks,No,To test the trading habits of people,took a while to start,"{""treatments"": [true, false], ""payable_round"": 2, ""treatment"": ""s2"", ""martingale"": false, ""trading_payoff"": 155}",1,1,vvlpwazd,,,,,0,8.5
13,17,p4944w8u,5f2016b023978b04f9679bec,0,23,23,post_experimental,FinalForProlific,2023-04-11 17:37:22.873347+00:00,1,,,247.0,17,,12.0,block 3 (G second),Session III - full gamification,s3,1,1,Design 1,Design 1,"Have an option between Design #1 and Design #2,",4.0,1.0,1.0,Male,26.0,US,undergraduate: 4th year,Other,0.0,1.0,1.0,1.0,Less than once a month,Less than once a month,Stocks,No,Not really sure besides looking at styles of investing maybe.,Nope,"{""treatments"": [false, true], ""payable_round"": 3, ""treatment"": ""s3"", ""martingale"": false, ""trading_payoff"": 235}",1,1,vvlpwazd,,,,,0,14.75
14,18,knt6bs1o,61020458e6339c65bb7b7798,0,23,23,post_experimental,FinalForProlific,2023-04-11 17:37:41.049026+00:00,1,,,119.0,18,,9.0,block 3 (G second),Session IV - price only+martingale,s4,1,0,Design 2,Design 2,"Have an option between Design #1 and Design #2,",5.0,,,Male,27.0,US,undergraduate: 4th year,Economics,1.0,1.0,1.0,1.0,Weekly,Monthly,Stocks,No,To see how financially literate people are when it comes to investing.,No,"{""treatments"": [true, false], ""payable_round"": 4, ""treatment"": ""s4"", ""martingale"": true, ""trading_payoff"": 110}",1,1,vvlpwazd,,,,,0,7.75
15,20,y42uim9y,6406695d0e9785189e01f99a,0,23,23,post_experimental,FinalForProlific,2023-04-11 17:40:26.421805+00:00,1,,,206.0,20,,6.0,block 4 (G second),"Session I - Hedonic, no price",s1,0,1,Design 1,Design 1,"Have an option between Design #1 and Design #2,",,4.0,3.0,Male,66.0,US,master,Finance,1.0,1.0,1.0,1.0,Less than once a month,Weekly,Cryptocurrencies,Yes,trading stock,no,"{""treatments"": [true, false], ""payable_round"": 3, ""treatment"": ""s1"", ""martingale"": false, ""trading_payoff"": 200}",1,1,vvlpwazd,,,,,0,11.5
16,21,wubp5eoe,63edf51bc1e19e32b9c72dfa,0,23,23,post_experimental,FinalForProlific,2023-04-11 17:40:44.415335+00:00,1,,,230.0,21,,10.0,block 4 (G second),"Session II - non-hedonic, price",s2,1,0,Design 1,Design 2,"Have an option between Design #1 and Design #2,",5.0,,,Male,32.0,BD,undergraduate: 4th year,Other,1.0,0.0,1.0,0.0,Less than once a month,Less than once a month,Stocks,Yes,To investigate how retail investors trade on digital platforms,No,"{""treatments"": [false, true], ""payable_round"": 5, ""treatment"": ""s2"", ""martingale"": false, ""trading_payoff"": 220}",1,1,vvlpwazd,,,,,0,13.5
17,22,hgmfbowp,6110b74b42270b61d9b11ea3,0,23,23,post_experimental,FinalForProlific,2023-04-11 17:41:09.740480+00:00,1,,,191.0,22,,6.0,block 4 (G second),"Session II - non-hedonic, price",s2,1,0,Design 2,Design 2,"Have an option between Design #1 and Design #2,",5.0,,,Female,21.0,US,undergraduate: 4th year,Other Management,1.0,1.0,1.0,1.0,Monthly,Weekly,Stocks,Yes,To understand the financial knowledge and capabilities of current consumers.,No,"{""treatments"": [true, false], ""payable_round"": 4, ""treatment"": ""s2"", ""martingale"": false, ""trading_payoff"": 185}",1,1,vvlpwazd,,,,,0,10.75
18,23,doztziad,6114ba31072fc0bcc226b89d,0,23,23,post_experimental,FinalForProlific,2023-04-11 17:41:39.531145+00:00,1,,,148.0,23,,8.0,block 4 (G second),Session III - full gamification,s3,1,1,Design 1,Design 1,"Have an option between Design #1 and Design #2,",4.0,1.0,2.0,Male,33.0,US,undergraduate: 2nd year,Other,1.0,0.0,0.0,1.0,Less than once a month,Less than once a month,Cryptocurrencies,Do not know,"to analyze individuals financial literacy of some sort, I believe.","the zoom was difficult to navigate at times, the interface would be too large or small and off screen above or below the zoom/graph that indicated the changing values.  i had to adjust it often, to see it well. not a big deal though.   Im also on a chromebook, and that may be why.","{""treatments"": [false, true], ""payable_round"": 3, ""treatment"": ""s3"", ""martingale"": false, ""trading_payoff"": 140}",1,1,vvlpwazd,,,,,0,9.0
19,24,n5vjtqwg,63d3ea0b0f01a1c783c10f16,0,23,23,post_experimental,FinalForProlific,2023-04-11 17:42:44.967276+00:00,1,,,128.0,24,,8.0,block 4 (G second),Session IV - price only+martingale,s4,1,0,Design 2,Design 2,"Have an option between Design #1 and Design #2,",5.0,,,Male,66.0,NG,master,Other Management,0.0,0.0,1.0,1.0,Weekly,Weekly,Cryptocurrencies,Yes,Investment decisions,none,"{""treatments"": [true, false], ""payable_round"": 2, ""treatment"": ""s4"", ""martingale"": true, ""trading_payoff"": 120}",1,1,vvlpwazd,,,,,0,8.0
20,25,um877c6y,5c3fd0d4c2d0b700017d02cd,0,23,23,post_experimental,FinalForProlific,2023-04-11 17:47:56.215227+00:00,1,,,191.0,25,,11.0,block 1 (G first),"Session I - Hedonic, no price",s1,0,1,Design 1,Design 1,Only trade on Design #1,,1.0,1.0,Male,34.0,US,PhD,Other,0.0,0.0,0.0,0.0,Less than once a month,Less than once a month,Bonds,No,Determining if trading interfaces play a role in how aggressively a person trades stocks.,"Nope, it seemed to all work fine.","{""treatments"": [false, true], ""payable_round"": 5, ""treatment"": ""s1"", ""martingale"": false, ""trading_payoff"": 180}",1,1,vvlpwazd,,,,,0,11.75
21,26,c82eufke,611291090e626fdfde536f38,0,23,23,post_experimental,FinalForProlific,2023-04-11 17:48:09.900824+00:00,1,,,180.0,26,,10.0,block 1 (G first),"Session I - Hedonic, no price",s1,0,1,Design 2,Design 2,"Have an option between Design #1 and Design #2,",,3.0,3.0,Male,39.0,US,undergraduate: 3d year,Other,0.0,1.0,1.0,1.0,Weekly,Daily,Stocks,No,To see if a gamified experience is better than a non gamified one.,No,"{""treatments"": [true, false], ""payable_round"": 4, ""treatment"": ""s1"", ""martingale"": false, ""trading_payoff"": 170}",1,1,vvlpwazd,,,,,0,11.0
22,27,jjty32g1,5dd5db1ded7ea4574c7bc996,0,23,23,post_experimental,FinalForProlific,2023-04-11 17:48:44.686450+00:00,1,,,237.0,27,,7.0,block 1 (G first),"Session II - non-hedonic, price",s2,1,0,Design 1,Design 1,Only trade on Design #1,4.0,,,Male,28.0,CA,undergraduate: 4th year,Other,1.0,0.0,0.0,0.0,Less than once a month,Less than once a month,Stocks,No,To judge financial knowledge,No,"{""treatments"": [false, true], ""payable_round"": 3, ""treatment"": ""s2"", ""martingale"": false, ""trading_payoff"": 230}",1,1,vvlpwazd,,,,,0,13.25
23,28,6y3fcpqc,5e4b550cbc830a0625f5ceff,0,23,23,post_experimental,FinalForProlific,2023-04-11 17:49:18.638062+00:00,1,,,182.0,28,,12.0,block 1 (G first),"Session II - non-hedonic, price",s2,1,0,Design 1,Design 1,Only trade on Design #1,4.0,,,Male,28.0,US,master,Other,1.0,0.0,1.0,1.0,Weekly,Weekly,Cryptocurrencies,No,To see how people reacted to the prices of each stock depending on if it was going up or down and if they were in profit.,No,"{""treatments"": [true, false], ""payable_round"": 4, ""treatment"": ""s2"", ""martingale"": false, ""trading_payoff"": 170}",1,1,vvlpwazd,,,,,0,11.5
24,29,29go8wqj,5da6139c002c29001335b5a2,0,23,23,post_experimental,FinalForProlific,2023-04-11 17:50:55.850092+00:00,1,,,122.0,29,,12.0,block 1 (G first),Session III - full gamification,s3,1,1,Design 1,Design 1,Only trade on Design #1,1.0,1.0,1.0,Male,29.0,US,undergraduate: 4th year,Finance,1.0,1.0,1.0,1.0,Less than once a month,Monthly,Stocks,No,no idea,no,"{""treatments"": [false, true], ""payable_round"": 2, ""treatment"": ""s3"", ""martingale"": false, ""trading_payoff"": 110}",1,1,vvlpwazd,,,,,0,8.5
25,30,936ovxtr,5da25f04c8c2de00139ed46b,0,23,23,post_experimental,FinalForProlific,2023-04-11 17:51:20.151622+00:00,1,,,190.0,30,,5.0,block 1 (G first),Session IV - price only+martingale,s4,1,0,Design 1,Design 2,"Have an option between Design #1 and Design #2,",5.0,,,Female,41.0,US,MBA,Economics,1.0,0.0,1.0,1.0,Less than once a month,Monthly,Stocks,Yes,I don't know what the purpose of this study is.,no!,"{""treatments"": [true, false], ""payable_round"": 3, ""treatment"": ""s4"", ""martingale"": true, ""trading_payoff"": 185}",1,1,vvlpwazd,,,,,0,10.5
26,31,719fsc4m,64150c3dc300f214779f4579,0,23,23,post_experimental,FinalForProlific,2023-04-11 17:52:40.891847+00:00,1,,,170.0,31,,10.0,block 2 (G first),"Session I - Hedonic, no price",s1,0,1,Design 2,Design 2,"Have an option between Design #1 and Design #2,",,5.0,4.0,Male,23.0,US,high-school graduate,Other,0.0,0.0,0.0,0.0,Less than once a month,Less than once a month,Cryptocurrencies,Do not know,to check the psychology of people when they are trading,i did not,"{""treatments"": [false, true], ""payable_round"": 4, ""treatment"": ""s1"", ""martingale"": false, ""trading_payoff"": 160}",1,1,vvlpwazd,,,,,0,10.5
27,32,jwvvgq1p,63c48023d6116ee42fa17bf8,0,23,23,post_experimental,FinalForProlific,2023-04-11 17:53:45.802951+00:00,1,,,211.0,32,,11.0,block 2 (G first),"Session I - Hedonic, no price",s1,0,1,Design 2,Design 2,"Have an option between Design #1 and Design #2,",,4.0,5.0,Male,33.0,US,undergraduate: 4th year,Finance,1.0,0.0,1.0,1.0,Less than once a month,Monthly,Cryptocurrencies,Yes,Predicting and analyzing the stock market,No,"{""treatments"": [true, false], ""payable_round"": 2, ""treatment"": ""s1"", ""martingale"": false, ""trading_payoff"": 200}",1,1,vvlpwazd,,,,,0,12.75
