,participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.block_name,player.treatment_name,player.inner_name,player.notifications,player.hedonic,player.sr_prefs,player.sr_better_decs,player.sr_better_have_option,player.sr_notifications,player.sr_badges,player.sr_confetti,player.gender,player.age,player.nationality,player.education,player.study_major,player.course_financial,player.experiment_before,player.trading_experience,player.online_trading_experience,player.trading_frequency,player.portfolio_frequency,player.asset_class,player.use_leverage,player.purpose,player.difficulty,player.vars_dump,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,cad_payoff
0,3,mi0088eg,,0,24,23,post_experimental,FinalForProlific,2023-02-22 21:46:15.910963+00:00,1,,,182.0,3,,12.0,block 1 (G first),"Session II - non-hedonic, price",s2,1,0,Design 2,Design 2,"Have an option between Design #1 and Design #2,",4.0,,,Male,22.0,SG,undergraduate: 3d year,Finance,1.0,0.0,1.0,1.0,Monthly,Daily,Stocks,No,"I think the purpose was to analyse different human behaviours of consumers, and see how an investor would react to changes in stock price. It also aims to look at how investors might change their decision given a prompt that notifies them about stock prices with multiple continuous shifts in one direction. This ties into how investors view trends and make investments based on probability and other factors like patterns.","The only difficulty I would encounter would be that once the period ""trading begins"" occurs, I am not given enough reaction time to decide to sell the stock that I am automatically holding. Furthermore, another difficulty is that we are not allowed to short stocks and are only given the choice of being able to long stocks. I think it causes a lot of missed profit opportunities.","{""treatments"": [false, true], ""payable_round"": 2, ""treatment"": ""s2"", ""martingale"": false, ""trading_payoff"": 170}",1,1,vmu7c279,,,,,0,11.5
1,10,7jonfg2l,,0,24,23,post_experimental,FinalForProlific,2023-02-25 00:02:23.314708+00:00,1,,,216.0,10,,11.0,block 2 (G first),"Session II - non-hedonic, price",s2,1,0,Design 1,Design 1,"Have an option between Design #1 and Design #2,",2.0,,,Male,20.0,CA,undergraduate: 3d year,Finance,1.0,0.0,1.0,1.0,Weekly,Weekly,Bonds,No,I believe the purpose of this study is to understand the trading habits of consumers. Given the set of rules and understanding the general understanding of how markets work and the relatively simple questions given after you can measure how well people did at the game and compare it to the number of correct responses in the quiz.,The task was straightforward and easy to understand and the game functioned well.   also my student number is 1007129732,"{""treatments"": [true, false], ""payable_round"": 5, ""treatment"": ""s2"", ""martingale"": false, ""trading_payoff"": 205}",1,1,vmu7c279,,,,,0,13.0
2,11,5c7udvpd,,0,24,23,post_experimental,FinalForProlific,2023-02-25 02:15:44.446805+00:00,1,,,220.0,11,,10.0,block 2 (G first),Session III - full gamification,s3,1,1,Design 2,Design 2,"Have an option between Design #1 and Design #2,",5.0,5.0,5.0,Male,23.0,CN,undergraduate: 4th year,Finance,1.0,0.0,0.0,0.0,Less than once a month,Less than once a month,Stocks,No,I believe it is to assess the investment psychology of the average population.,"No, the instructions were succinct and I am also familiar with the mechanics of a stock market.","{""treatments"": [false, true], ""payable_round"": 2, ""treatment"": ""s3"", ""martingale"": false, ""trading_payoff"": 210}",1,1,vmu7c279,,,,,0,13.0
3,14,nlp1gb1k,,0,24,23,post_experimental,FinalForProlific,2023-02-25 23:29:34.117537+00:00,1,,,167.0,14,,12.0,block 3 (G second),"Session I - Hedonic, no price",s1,0,1,Design 2,Design 2,"Have an option between Design #1 and Design #2,",,2.0,2.0,Male,20.0,CA,undergraduate: 3d year,Finance,0.0,0.0,0.0,0.0,Monthly,Monthly,Stocks,Yes,George Theoharis  1007271845    To teach people how investors look at trends within the market to make trades. To also test different platforms when we see how much we are making/loosing how conscious we are of what is going on.    Ive also only used margin 2-3 times before very scary.,I found it difficult to forecast what was going to happen next at the very beginning but I was figuring it our towards the end when I had more information.    Also I did not like the achievements they distracted me.,"{""treatments"": [true, false], ""payable_round"": 3, ""treatment"": ""s1"", ""martingale"": false, ""trading_payoff"": 155}",1,1,vmu7c279,,,,,0,10.75
4,15,gcs54w3b,,0,24,23,post_experimental,FinalForProlific,2023-02-26 19:07:57.281915+00:00,1,,,237.0,15,,12.0,block 3 (G second),"Session II - non-hedonic, price",s2,1,0,Design 1,Design 1,"Have an option between Design #1 and Design #2,",4.0,,,Male,20.0,CA,undergraduate: 3d year,Finance,1.0,0.0,0.0,0.0,Less than once a month,Less than once a month,Cryptocurrencies,Do not know,to better understand financial literacy and experiment with investing into stocks,i have not everything was clear and concise,"{""treatments"": [false, true], ""payable_round"": 5, ""treatment"": ""s2"", ""martingale"": false, ""trading_payoff"": 225}",1,1,vmu7c279,,,,,0,14.25
5,20,hre8fq8i,,0,24,23,post_experimental,FinalForProlific,2023-03-01 22:54:31.871982+00:00,1,,,202.0,20,,12.0,block 4 (G second),"Session I - Hedonic, no price",s1,0,1,Design 1,Design 1,"Have an option between Design #1 and Design #2,",,3.0,2.0,Female,22.0,CA,undergraduate: 4th year,Finance,1.0,0.0,1.0,1.0,Less than once a month,Monthly,Stocks,No,"To gauge people's reactions to trading platform features (for example, the ""congratulations"" and the badges were distracting to me but could've also falsely boosted people's confidence and influenced their trading), to gauge people's self awareness in these biases, to see the level of financial literacy a person has against their level of expertise and / or education.","It was a bit long and I found it difficult to not know how much time I had during each round of the trading. The instructions in the beginning were also quite lengthy as they were mostly text and one one page, so if it was broken down into different pages and more visual I could have read the instructions and understood them faster. I found it fun though that I naturally found my risk-preference and could kind of ""extract"" a fundamental value of the securities I was trading just by seeing what value was being fluctuated around. I found it difficult to snap out of the short-term trading mode especially when I was being ""rewarded"" for higher quantity of trades, so when I could have held on to my long position and ridden out the wave, I traded it instead because I was in short-term mode.","{""treatments"": [true, false], ""payable_round"": 4, ""treatment"": ""s1"", ""martingale"": false, ""trading_payoff"": 190}",1,1,vmu7c279,,,,,0,12.5
6,21,pb727kvg,,0,24,23,post_experimental,FinalForProlific,2023-03-03 23:00:43.145273+00:00,1,,,231.0,21,,11.0,block 4 (G second),"Session II - non-hedonic, price",s2,1,0,Design 1,Design 1,"Have an option between Design #1 and Design #2,",4.0,,,Female,21.0,SG,undergraduate: 3d year,Other,1.0,1.0,0.0,0.0,Less than once a month,Less than once a month,"Derivatives (Options, Futures)",No,Study trading behaviour and risk averseness of individuals,nope,"{""treatments"": [false, true], ""payable_round"": 2, ""treatment"": ""s2"", ""martingale"": false, ""trading_payoff"": 220}",1,1,vmu7c279,,,,,0,13.75
7,23,pgdv91vz,,0,24,23,post_experimental,FinalForProlific,2023-03-04 17:19:43.172888+00:00,1,,,196.0,23,,11.0,block 4 (G second),Session III - full gamification,s3,1,1,Design 1,Design 1,Only trade on Design #1,3.0,1.0,1.0,Male,20.0,CA,undergraduate: 3d year,Finance,1.0,0.0,0.0,0.0,Less than once a month,Less than once a month,Stocks,Do not know,"To see how new individual act in the market, and if they can learn quickly to the market trends.         Francesco Zita (#1007073916)","The first round I found quite difficult, but then I slowly began to use a technique which earned me some more money in the later rounds.","{""treatments"": [false, true], ""payable_round"": 2, ""treatment"": ""s3"", ""martingale"": false, ""trading_payoff"": 185}",1,1,vmu7c279,,,,,0,12.0
8,27,3cbm3sys,,0,24,23,post_experimental,FinalForProlific,2023-03-04 19:37:05.620386+00:00,1,,,266.0,27,,11.0,block 1 (G first),"Session II - non-hedonic, price",s2,1,0,Design 2,Design 1,"Have an option between Design #1 and Design #2,",3.0,,,Male,22.0,CA,undergraduate: 3d year,Finance,0.0,0.0,0.0,0.0,Less than once a month,Less than once a month,Stocks,No,"To find out the effect of certain features (such as 3 times same direction movement or ability to see your profit) on your trading behaviour. My guess is that the first feature makes your trading less rationale (as you are more likely to panic when seeing this notification), while the ability to see profit makes you more likely to hold, as you see a potential opportunity to lose when selling under bought value.",,"{""treatments"": [false, true], ""payable_round"": 3, ""treatment"": ""s2"", ""martingale"": false, ""trading_payoff"": 255}",1,1,vmu7c279,,,,,0,15.5
9,28,galec1ga,,0,24,23,post_experimental,FinalForProlific,2023-03-04 19:42:34.568323+00:00,1,,,291.0,28,,11.0,block 1 (G first),"Session II - non-hedonic, price",s2,1,0,Design 1,Design 2,"Have an option between Design #1 and Design #2,",3.0,,,Male,20.0,CA,undergraduate: 3d year,Finance,1.0,0.0,1.0,1.0,Less than once a month,Less than once a month,Stocks,No,To study user behavior relative to market trading when using different types of trading systems with various features that could be beneficial or detrimental to the user.,No,"{""treatments"": [true, false], ""payable_round"": 3, ""treatment"": ""s2"", ""martingale"": false, ""trading_payoff"": 280}",1,1,vmu7c279,,,,,0,16.75
