session_code,participant_id_in_session,participant_code,page_index,app_name,page_name,epoch_time,round_number,timeout_happened,is_wait_page
3t2866uu,1,j8dyja1u,1,trader_wrapper,AnnounceTrader,1676728157,1,0,0
3t2866uu,1,j8dyja1u,2,trader_wrapper,Trader,1676728187,1,0,0
3t2866uu,1,j8dyja1u,3,trader_wrapper,AnnounceTrader,1676728188,2,0,0
agcjqk3r,4,xx9a8c7y,1,pretrade,Consent,1676741171,1,0,0
agcjqk3r,4,xx9a8c7y,2,pretrade,Instructions,1676741183,1,0,0
agcjqk3r,4,xx9a8c7y,3,pretrade,CQPage,1676742521,1,0,0
agcjqk3r,4,xx9a8c7y,4,pretrade,KnowledgeP,1676742523,1,0,0
agcjqk3r,4,xx9a8c7y,5,trader_wrapper,AnnounceTrader,1676742525,1,0,0
agcjqk3r,4,xx9a8c7y,6,trader_wrapper,Trader,1676742582,1,0,0
agcjqk3r,4,xx9a8c7y,7,trader_wrapper,AnnounceTrader,1676742584,2,0,0
agcjqk3r,4,xx9a8c7y,8,trader_wrapper,Trader,1676743120,2,0,0
agcjqk3r,4,xx9a8c7y,9,trader_wrapper,AnnounceTrader,1676743153,3,0,0
dt9vndat,4,opv4k56a,1,pretrade,Consent,1676743195,1,0,0
dt9vndat,4,opv4k56a,2,pretrade,Instructions,1676743198,1,0,0
dt9vndat,4,opv4k56a,3,pretrade,CQPage,1676743204,1,0,0
dt9vndat,4,opv4k56a,4,pretrade,KnowledgeP,1676743207,1,0,0
dt9vndat,4,opv4k56a,5,trader_wrapper,AnnounceTrader,1676743208,1,0,0
dt9vndat,4,opv4k56a,6,trader_wrapper,Trader,1676743265,1,0,0
dt9vndat,4,opv4k56a,7,trader_wrapper,AnnounceTrader,1676743267,2,0,0
dt9vndat,1,htsiiigz,1,pretrade,Consent,1676743373,1,0,0
dt9vndat,1,htsiiigz,2,pretrade,Instructions,1676743376,1,0,0
dt9vndat,1,htsiiigz,3,pretrade,CQPage,1676743382,1,0,0
dt9vndat,1,htsiiigz,4,pretrade,KnowledgeP,1676743384,1,0,0
dt9vndat,1,htsiiigz,5,trader_wrapper,AnnounceTrader,1676743386,1,0,0
dt9vndat,1,htsiiigz,6,trader_wrapper,Trader,1676743442,1,0,0
dt9vndat,1,htsiiigz,7,trader_wrapper,AnnounceTrader,1676743444,2,0,0
dt9vndat,1,htsiiigz,8,trader_wrapper,Trader,1676743789,2,0,0
xd2ncmuq,1,6ksbn1hm,1,post_experimental,SelfReflection1,1676744482,1,0,0
602cn794,1,nb26g4yl,1,pretrade,Consent,1676829267,1,0,0
vmu7c279,2,2tpnec9l,1,pretrade,Consent,1677041449,1,0,0
vmu7c279,2,2tpnec9l,2,pretrade,Instructions,1677041455,1,0,0
vmu7c279,3,mi0088eg,1,pretrade,Consent,1677102416,1,0,0
vmu7c279,3,mi0088eg,2,pretrade,Instructions,1677102539,1,0,0
