participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.treatment,player.martingale,player.consent,player.knowledge,player.cq1,player.cq2,player.cq4,player.cq5,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,w7vmzpvl,,0,0,23,,,,0,,,0.00,1,,0.00,,,,,,,,,1,1,4tuhbvr6,,,,,1
2,1r7twdsm,,0,0,23,,,,0,,,0.00,2,,0.00,,,,,,,,,1,1,4tuhbvr6,,,,,1
3,7vjt181z,,0,0,23,,,,0,,,0.00,3,,0.00,,,,,,,,,1,1,4tuhbvr6,,,,,1
4,bbmffhyw,,0,0,23,,,,0,,,0.00,4,,0.00,,,,,,,,,1,1,4tuhbvr6,,,,,1
5,k508vurm,,0,0,23,,,,0,,,0.00,5,,0.00,,,,,,,,,1,1,4tuhbvr6,,,,,1
6,hufmabqg,,0,0,23,,,,0,,,0.00,6,,0.00,,,,,,,,,1,1,4tuhbvr6,,,,,1
7,hx8b4gr9,,0,0,23,,,,0,,,0.00,7,,0.00,,,,,,,,,1,1,4tuhbvr6,,,,,1
8,dyised41,,0,0,23,,,,0,,,0.00,8,,0.00,,,,,,,,,1,1,4tuhbvr6,,,,,1
9,ark3j1hq,,0,0,23,,,,0,,,0.00,9,,0.00,,,,,,,,,1,1,4tuhbvr6,,,,,1
10,1bxk6ulh,,0,0,23,,,,0,,,0.00,10,,0.00,,,,,,,,,1,1,4tuhbvr6,,,,,1
11,5pslq0b1,,0,0,23,,,,0,,,0.00,11,,0.00,,,,,,,,,1,1,4tuhbvr6,,,,,1
12,u4v6miki,,0,0,23,,,,0,,,0.00,12,,0.00,,,,,,,,,1,1,4tuhbvr6,,,,,1
13,uuqtvzcp,,0,0,23,,,,0,,,0.00,13,,0.00,,,,,,,,,1,1,4tuhbvr6,,,,,1
14,pcto94tb,,0,0,23,,,,0,,,0.00,14,,0.00,,,,,,,,,1,1,4tuhbvr6,,,,,1
15,6xlbqgx1,,0,0,23,,,,0,,,0.00,15,,0.00,,,,,,,,,1,1,4tuhbvr6,,,,,1
16,c9tkgc1v,,0,0,23,,,,0,,,0.00,16,,0.00,,,,,,,,,1,1,4tuhbvr6,,,,,1
17,d0552ohg,,0,0,23,,,,0,,,0.00,17,,0.00,,,,,,,,,1,1,4tuhbvr6,,,,,1
18,iq4q4b7g,,0,0,23,,,,0,,,0.00,18,,0.00,,,,,,,,,1,1,4tuhbvr6,,,,,1
19,6jxtkni4,,0,0,23,,,,0,,,0.00,19,,0.00,,,,,,,,,1,1,4tuhbvr6,,,,,1
20,eracigm7,,0,0,23,,,,0,,,0.00,20,,0.00,,,,,,,,,1,1,4tuhbvr6,,,,,1
21,lgr611ly,,0,0,23,,,,0,,,0.00,21,,0.00,,,,,,,,,1,1,4tuhbvr6,,,,,1
22,9aencaaz,,0,0,23,,,,0,,,0.00,22,,0.00,,,,,,,,,1,1,4tuhbvr6,,,,,1
23,wrnpbh8k,,0,0,23,,,,0,,,0.00,23,,0.00,,,,,,,,,1,1,4tuhbvr6,,,,,1
24,8l7wn2ls,,0,0,23,,,,0,,,0.00,24,,0.00,,,,,,,,,1,1,4tuhbvr6,,,,,1
1,41o7t2ac,,0,0,23,,,,0,,,0.00,1,,0.00,,,,,,,,,1,1,agcjqk3r,,,,,1
2,fwfys2of,,0,0,23,,,,0,,,0.00,2,,0.00,,,,,,,,,1,1,agcjqk3r,,,,,1
