Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6436c0990b964f720afbff6f,5a8c4fcb8fe2dc0001063a62,APPROVED,2023-04-12T14:30:53.413000Z,2023-04-12T15:10:19.442000Z,2023-04-12T15:10:28.061000,2023-04-12T15:10:21.793503Z,2367,C14JUVP6,250,English,24,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6436c09c5fda637f6d066ed4,5c26ddc670d93a000120db8f,APPROVED,2023-04-12T14:32:01.580000Z,2023-04-12T15:15:56.424000Z,2023-04-12T15:15:59.368000,2023-04-12T15:15:59.362909Z,2635,C14JUVP6,317,English,31,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
6436c0e27a50be977560feaa,60dceeaa19d94b7d2651c389,APPROVED,2023-04-12T14:32:37.496000Z,2023-04-12T15:19:34.970000Z,2023-04-12T15:20:19.354000Z,2023-04-12T15:20:41.835446Z,2818,C14JUVP6,713,English,35,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6436c0ff5a371da0e64f81ab,598c4b28cceb0f0001b39675,APPROVED,2023-04-12T14:35:54.284000Z,2023-04-12T15:10:43.825000Z,2023-04-12T15:10:50.375000,2023-04-12T15:10:45.238738Z,2090,C14JUVP6,1623,English,42,Male,Mixed,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,Full-Time
6436c1043cfcdf2a4aa4be83,5c48568e8bb610000160d20d,APPROVED,2023-04-12T14:33:41.864000Z,2023-04-12T15:15:47.788000Z,2023-04-12T15:15:50.394000Z,2023-04-12T15:15:50.664690Z,2526,C14JUVP6,99,English,51,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
6436c15abcd9f1082dfea905,607d81b8f1743b52d56bf66e,APPROVED,2023-04-12T14:34:18.913000Z,2023-04-12T15:09:57.369000Z,2023-04-12T15:10:23.198000,2023-04-12T15:09:57.994664Z,2139,C14JUVP6,547,"English, French, Spanish",45,Female,White,Spain,United Kingdom,Spain,Spanish,No,Full-Time
6436c1ddf5e2b75629170f34,63d1579ea9d9d2556d7a44d9,APPROVED,2023-04-12T14:36:59.313000Z,2023-04-12T15:11:53.410000Z,2023-04-12T15:11:54.173000,2023-04-12T15:11:54.043770Z,2095,C14JUVP6,2,English,26,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6436c1f5f0949f9899648e81,59cb9a7559b379000115130c,APPROVED,2023-04-12T14:37:01.140000Z,2023-04-12T15:13:32.566000Z,2023-04-12T15:13:34.735000,2023-04-12T15:13:33.100088Z,2192,C14JUVP6,112,English,34,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6436c228c654c766e555fbe1,5e9035678ed06f334edc83f8,APPROVED,2023-04-12T14:37:56.719000Z,2023-04-12T15:51:52.162000Z,2023-04-12T15:51:53.315000,2023-04-12T15:51:53.196424Z,4436,C14JUVP6,307,English,33,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6436c22c9bb2c973ceafe6f2,5bdc1c289ab26e0001a46b96,APPROVED,2023-04-12T14:37:58.164000Z,2023-04-12T15:10:38.786000Z,2023-04-12T15:10:46.649000,2023-04-12T15:10:43.175009Z,1961,C14JUVP6,378,English,30,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
