Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
643594c6b7faa0a3c7eb3578,6286d3ac3a161dab706a695c,APPROVED,2023-04-11T17:11:38.430000Z,2023-04-11T17:44:37.991000Z,2023-04-11T17:44:38.759000,2023-04-11T17:44:38.650315Z,1980,C14JUVP6,877,"English, Pashto",29,Male,White,United States,United States,United States,English,Yes,Part-Time
6435961ff89c427d59515de0,63d1859a26b56696da9d4c44,APPROVED,2023-04-11T17:17:44.136000Z,2023-04-11T17:50:47.608000Z,2023-04-11T17:50:48.457000,2023-04-11T17:50:48.366446Z,1984,C14JUVP6,52,"English, Hebrew, Russian",29,Male,White,Israel,United States,Israel,Hebrew,No,Full-Time
6435966cbdaeded3d693bccc,6123edc799de1e1894257e4b,APPROVED,2023-04-11T17:18:39.665000Z,2023-04-11T18:01:05.227000Z,2023-04-11T18:01:05.990000Z,2023-04-11T18:01:07.282604Z,2546,C14JUVP6,414,English,23,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
643596d721a71e762789b3d3,5e8681d1fc96dd135df99ee6,APPROVED,2023-04-11T17:20:28.080000Z,2023-04-11T17:51:20.770000Z,2023-04-11T17:51:21.488000,2023-04-11T17:51:21.463444Z,1853,C14JUVP6,767,English,34,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
643596d8a3703159a984b8cf,63cf190cba4db74f72c8027e,APPROVED,2023-04-11T17:20:30.600000Z,2023-04-11T19:15:40.017000Z,2023-04-11T19:47:02.633000,2023-04-11T19:15:40.680429Z,6910,NOCODE,108,English,26,Female,Black,United States,United States,United States,English,No,Full-Time
64359735dafba60456a61e8e,5e57fb0874c953000c2553be,APPROVED,2023-04-11T17:22:01.506000Z,2023-04-11T18:05:34.986000Z,2023-04-11T18:05:35.946000Z,2023-04-11T18:05:36.074250Z,2614,C14JUVP6,322,"German, Turkish, English",28,Male,White,Turkey,United States,Turkey,Turkish,Yes,Part-Time
643597c518cffcb801ec080b,5dceebbcc12884034547ae4d,APPROVED,2023-04-11T17:24:27.606000Z,2023-04-11T17:54:22.579000Z,2023-04-11T17:54:23.242000,2023-04-11T17:54:23.148792Z,1795,C14JUVP6,501,English,49,Female,White,Australia,United States,United States,English,No,DATA_EXPIRED
64359810ccdb656a23ada0e4,6406695d0e9785189e01f99a,APPROVED,2023-04-11T17:25:49.350000Z,2023-04-11T18:40:23.102000Z,2023-04-11T18:40:23.821000,2023-04-11T18:40:23.721000Z,4474,C14JUVP6,103,English,65,Male,Black,Nigeria,United States,Nigeria,English,No,Part-Time
643599586ae2a420b305f90b,60fd455e6d2c6409878f752c,APPROVED,2023-04-11T17:31:08.768000Z,2023-04-11T18:03:55.867000Z,2023-04-11T18:03:59.122000,2023-04-11T18:03:58.216001Z,1968,C14JUVP6,361,English,28,Female,White,United States,United States,Greece,English,No,Full-Time
6435996786bf7511c2cdde4c,640bd3065c01641d9e4c7a72,APPROVED,2023-04-11T17:31:45.801000Z,2023-04-11T18:33:37.654000Z,2023-04-11T18:33:38.603000,2023-04-11T18:33:38.504365Z,3712,C14JUVP6,113,English,65,Male,Black,Nigeria,United States,Nigeria,English,No,Part-Time
